time,strain,signal_type,experiment_type,signal_value
0.3333333333,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.048430731187999995
0.3333333333,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.3333333333,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309262999999
0.3333333333,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,826.1239912000001
0.3333333333,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.019048720975
0.3333333333,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.06011276554
0.3333333333,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.3333333333,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518499998
0.3333333333,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,732.02119885
0.3333333333,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,5.106710155
0.3333333333,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.7852252174000001
0.3333333333,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.3333333333,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.3333333333,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,859.01838235
0.3333333333,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.04601188576
0.3333333333,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04579264196
0.3333333333,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.3333333333,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.3333333333,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,620.212963
0.3333333333,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.045925017225
0.3333333333,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.044336578805
0.3333333333,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.3333333333,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.3333333333,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,622.61964285
